Symptom,weight
खुजली,1
त्वचा पर चकत्ते,3
नोडल_त्वचा_विस्फोट,4
लगातार_छींकें आना,4
कंपकंपी,5
ठंड लगना,3
जोड़ों का दर्द,3
पेट_दर्द,5
अम्लता,3
जीभ पर छाले,4
मांसपेशियों की बर्बादी,3
उल्टी,5
जलन_मूत्रस्राव,6
पेशाब में दाग आना,6
थकान,4
वज़न_बढ़ना,3
चिंता,4
ठंडे हाथ और पैर,5
मूड_स्विंग,3
वज़न_घटना,3
बेचैनी,5
सुस्ती,2
गले में धब्बे,6
अनियमित_शर्करा_स्तर,5
खांसी,4
तेज़ बुखार,7
धँसी हुई आँखें,3
सांस फूलना,4
पसीना आना,3
निर्जलीकरण,4
अपच,5
सिरदर्द,3
पीली_त्वचा,3
अंधेरा_मूत्र,4
मतली,5
भूख_की_हानि,4
आँखों_के_पीछे_दर्द,4
कमर_दर्द,3
कब्ज,3
पेट_दर्द,4
दस्त,6
हल्का_बुखार,5
पीला_मूत्र,4
आँखों का पीला पड़ना,4
तीव्र_यकृत_विफलता,6
द्रव_अधिभार,6
पेट_की_सूजन,7
सूजी हुई लिम्फ नोड्स,6
अस्वस्थता,6
धुंधली_और_विकृत_दृष्टि,5
कफ,5
गले में जलन,4
आँखों_की_लाली,5
साइनस_दबाव,4
बहती_नाक,4
भीड़भाड़,4
सीने में दर्द,7
हाथ-पैरों में कमजोरी,7
तेज़_हृदय_गति,5
मल त्याग के दौरान दर्द,5
गुदा क्षेत्र में दर्द,6
खूनी_मल,5
गुदा में जलन,5
गर्दन_दर्द,5
चक्कर आना,4
ऐंठन,4
चोट लगना,4
मोटापा,3
सूजे हुए_पैर,5
रक्तवाहिकाओं में सूजन,5
सूजा हुआ चेहरा और आँखें,4
बढ़ा हुआ_थायरॉइड,6
भंगुर_नाखून,4
सूजे हुए हाथ-पैर,5
अत्यधिक_भूख,4
अतिरिक्त_वैवाहिक_संपर्क,5
होठों का सूखना और झुनझुनाहट होना,4
गंदी बोली,4
घुटनों का दर्द,3
कूल्हे के जोड़ का दर्द,2
मांसपेशियों की कमजोरी,2
कड़ी_गर्दन,4
सूजन_जोड़ों,5
गति_कठोरता,5
कताई_आंदोलन,6
संतुलन_की_हानि,4
अस्थिरता,4
शरीर के एक तरफ की कमजोरी,4
गंध की हानि,3
मूत्राशय_असुविधा,4
पेशाब की दुर्गंध,5
पेशाब का लगातार महसूस होना,6
गैसों का मार्ग,5
आंतरिक_खुजली,4
टॉक्सिक_लुक_(टाइफोस),5
अवसाद,3
चिड़चिड़ापन,2
मांसपेशियों में दर्द,2
परिवर्तित_सेंसोरियम,2
शरीर पर लाल धब्बे,3
पेट_दर्द,4
असामान्य_माहवारी,6
डिस्क्रोमिक_पैच,6
आँखों_से_पानी_आना,4
बढ़ी_भूख,5
बहुमूत्रता,4
पारिवारिक_इतिहास,5
म्यूकोइड_स्पुतम,4
ज़ंग खाया हुआ थूक,4
एकाग्रता_की_कमी,3
दृश्य गड़बड़ी,3
रक्त-आधान प्राप्त करना,5
रिसिविंग_अनस्टेराइल_इंजेक्शन,2
कोमा,7
पेट_रक्तस्राव,6
पेट का फैलाव,4
शराब_सेवन_का_इतिहास,5
द्रव_अधिभार,4
थूक में खून,5
बछड़े पर प्रमुख नसें,6
धड़कन,4
चलने में कष्टदायक,2
मवाद भरी फुन्सियाँ,2
ब्लैकहेड्स,2
चिल्लाना,2
त्वचा_छिलना,3
चांदी_जैसी_धूल,2
नाखूनों में छोटे-छोटे डेंट,2
सूजन_वाले_नाख़ून,2
छाला,4
लाल_घाव_चारों ओर_नाक,2
पीला_क्रस्ट_ऊज़,3
पूर्वानुमान,0